Feature	Chrome as of 31 Dec 2022	Edge as of 31 Dec 2022	Firefox as of 31 Dec 2022	Safari as of 31 Dec 2022	Chrome as of 13 Oct 2023	Edge as of 13 Oct 2023	Firefox as of 13 Oct 2023	Safari as of 13 Oct 2023
api.CSSContainerRule	true	true	false	true	true	true	true	true
api.CSSContainerRule.containerName	false	false	false	false	true	true	true	true
api.CSSContainerRule.containerQuery	false	false	false	false	true	true	true	true
api.CSSCounterStyleRule	true	true	true	false	true	true	true	true
api.CSSCounterStyleRule.additiveSymbols	true	true	true	false	true	true	true	true
api.CSSCounterStyleRule.fallback	true	true	true	false	true	true	true	true
api.CSSCounterStyleRule.name	true	true	true	false	true	true	true	true
api.CSSCounterStyleRule.negative	true	true	true	false	true	true	true	true
api.CSSCounterStyleRule.pad	true	true	true	false	true	true	true	true
api.CSSCounterStyleRule.prefix	true	true	true	false	true	true	true	true
api.CSSCounterStyleRule.range	true	true	true	false	true	true	true	true
api.CSSCounterStyleRule.speakAs	true	true	true	false	true	true	true	true
api.CSSCounterStyleRule.suffix	true	true	true	false	true	true	true	true
api.CSSCounterStyleRule.symbols	true	true	true	false	true	true	true	true
api.CSSCounterStyleRule.system	true	true	true	false	true	true	true	true
api.CSSFontFeatureValuesRule	false	false	true	true	true	true	true	true
api.CSSFontFeatureValuesRule.fontFamily	false	false	true	true	true	true	true	true
api.CSSPageRule.selectorText	true	true	false	true	true	true	true	true
api.CSSStyleRule.cssRules	false	false	false	false	true	true	true	true
api.CSSStyleRule.deleteRule	false	false	false	false	true	true	true	true
api.CSSStyleRule.insertRule	false	false	false	false	true	true	true	true
api.CSSStyleSheet.replace	true	true	true	false	true	true	true	true
api.CSSStyleSheet.replaceSync	true	true	true	false	true	true	true	true
api.CanvasRenderingContext2D.createConicGradient	true	true	false	true	true	true	true	true
api.CanvasRenderingContext2D.drawImage.SVGImageElement_source_image	true	true	true	false	true	true	true	true
api.CanvasRenderingContext2D.getContextAttributes	true	true	false	true	true	true	true	true
api.CanvasRenderingContext2D.roundRect	true	true	false	true	true	true	true	true
api.CompressionStream	true	true	false	false	true	true	true	true
api.CompressionStream.CompressionStream	true	true	false	false	true	true	true	true
api.CompressionStream.CompressionStream.deflate	true	true	false	false	true	true	true	true
api.CompressionStream.CompressionStream.deflate-raw	true	true	false	false	true	true	true	true
api.CompressionStream.CompressionStream.gzip	true	true	false	false	true	true	true	true
api.CompressionStream.readable	true	true	false	false	true	true	true	true
api.CompressionStream.writable	true	true	false	false	true	true	true	true
api.DecompressionStream	true	true	false	false	true	true	true	true
api.DecompressionStream.DecompressionStream	true	true	false	false	true	true	true	true
api.DecompressionStream.DecompressionStream.deflate	true	true	false	false	true	true	true	true
api.DecompressionStream.DecompressionStream.deflate-raw	true	true	false	false	true	true	true	true
api.DecompressionStream.DecompressionStream.gzip	true	true	false	false	true	true	true	true
api.DecompressionStream.readable	true	true	false	false	true	true	true	true
api.DecompressionStream.writable	true	true	false	false	true	true	true	true
api.DedicatedWorkerGlobalScope.cancelAnimationFrame	true	true	true	false	true	true	true	true
api.DedicatedWorkerGlobalScope.messageerror_event	true	true	true	false	true	true	true	true
api.DedicatedWorkerGlobalScope.requestAnimationFrame	true	true	true	false	true	true	true	true
api.DeviceMotionEvent	true	true	true	false	true	true	true	true
api.DeviceMotionEvent.acceleration	true	true	true	false	true	true	true	true
api.DeviceMotionEvent.accelerationIncludingGravity	true	true	true	false	true	true	true	true
api.DeviceMotionEvent.interval	true	true	true	false	true	true	true	true
api.DeviceMotionEvent.rotationRate	true	true	true	false	true	true	true	true
api.DeviceOrientationEvent	true	true	true	false	true	true	true	true
api.DeviceOrientationEvent.absolute	true	true	true	false	true	true	true	true
api.DeviceOrientationEvent.alpha	true	true	true	false	true	true	true	true
api.DeviceOrientationEvent.beta	true	true	true	false	true	true	true	true
api.DeviceOrientationEvent.gamma	true	true	true	false	true	true	true	true
api.Document.adoptedStyleSheets	true	true	true	false	true	true	true	true
api.Document.exitFullscreen	true	true	true	false	true	true	true	true
api.Document.exitFullscreen.returns_promise	true	true	true	false	true	true	true	true
api.Document.fullscreen	true	true	true	false	true	true	true	true
api.Document.fullscreenElement	true	true	true	false	true	true	true	true
api.Document.fullscreenEnabled	true	true	true	false	true	true	true	true
api.Document.fullscreenchange_event	true	true	true	false	true	true	true	true
api.Document.fullscreenerror_event	true	true	true	false	true	true	true	true
api.Element.fullscreenchange_event	true	true	true	false	true	true	true	true
api.Element.fullscreenerror_event	true	true	true	false	true	true	true	true
api.Element.requestFullscreen	true	true	true	false	true	true	true	true
api.Element.requestFullscreen.returns_promise	true	true	true	false	true	true	true	true
api.ElementInternals	true	true	true	false	true	true	true	true
api.ElementInternals.checkValidity	true	true	true	false	true	true	true	true
api.ElementInternals.form	true	true	true	false	true	true	true	true
api.ElementInternals.labels	true	true	true	false	true	true	true	true
api.ElementInternals.reportValidity	true	true	true	false	true	true	true	true
api.ElementInternals.setFormValue	true	true	true	false	true	true	true	true
api.ElementInternals.setValidity	true	true	true	false	true	true	true	true
api.ElementInternals.shadowRoot	true	true	true	false	true	true	true	true
api.ElementInternals.validationMessage	true	true	true	false	true	true	true	true
api.ElementInternals.validity	true	true	true	false	true	true	true	true
api.ElementInternals.willValidate	true	true	true	false	true	true	true	true
api.FileSystemDirectoryHandle	true	true	false	true	true	true	true	true
api.FileSystemDirectoryHandle.@@asyncIterator	true	true	false	false	true	true	true	true
api.FileSystemDirectoryHandle.entries	true	true	false	true	true	true	true	true
api.FileSystemDirectoryHandle.getDirectoryHandle	true	true	false	true	true	true	true	true
api.FileSystemDirectoryHandle.getFileHandle	true	true	false	true	true	true	true	true
api.FileSystemDirectoryHandle.keys	true	true	false	true	true	true	true	true
api.FileSystemDirectoryHandle.removeEntry	true	true	false	true	true	true	true	true
api.FileSystemDirectoryHandle.resolve	true	true	false	true	true	true	true	true
api.FileSystemDirectoryHandle.values	true	true	false	true	true	true	true	true
api.FileSystemFileHandle	true	true	false	true	true	true	true	true
api.FileSystemFileHandle.createSyncAccessHandle	true	true	false	true	true	true	true	true
api.FileSystemFileHandle.getFile	true	true	false	true	true	true	true	true
api.FileSystemHandle	true	true	false	true	true	true	true	true
api.FileSystemHandle.isSameEntry	true	true	false	true	true	true	true	true
api.FileSystemHandle.kind	true	true	false	true	true	true	true	true
api.FileSystemHandle.name	true	true	false	true	true	true	true	true
api.FileSystemSyncAccessHandle	true	true	false	true	true	true	true	true
api.FileSystemSyncAccessHandle.close	true	true	false	true	true	true	true	true
api.FileSystemSyncAccessHandle.close.sync_version	true	true	false	false	true	true	true	true
api.FileSystemSyncAccessHandle.flush	true	true	false	true	true	true	true	true
api.FileSystemSyncAccessHandle.flush.sync_version	true	true	false	false	true	true	true	true
api.FileSystemSyncAccessHandle.getSize	true	true	false	true	true	true	true	true
api.FileSystemSyncAccessHandle.getSize.sync_version	true	true	false	false	true	true	true	true
api.FileSystemSyncAccessHandle.read	true	true	false	true	true	true	true	true
api.FileSystemSyncAccessHandle.truncate	true	true	false	true	true	true	true	true
api.FileSystemSyncAccessHandle.truncate.sync_version	true	true	false	false	true	true	true	true
api.FileSystemSyncAccessHandle.write	true	true	false	true	true	true	true	true
api.FormData.FormData.submitter	false	false	false	false	true	true	true	true
api.GamepadHapticActuator	true	true	true	false	true	true	true	true
api.GamepadHapticActuator.type	true	true	true	false	true	true	true	true
api.HTMLCanvasElement.transferControlToOffscreen	true	true	true	false	true	true	true	true
api.HTMLElement.attachInternals	true	true	true	false	true	true	true	true
api.HTMLElement.inert	true	true	false	true	true	true	true	true
api.HTMLElement.translate	true	true	false	true	true	true	true	true
api.HTMLFormElement.rel	true	true	false	true	true	true	true	true
api.HTMLFormElement.relList	true	true	false	true	true	true	true	true
api.HTMLInputElement.cancel_event	false	false	true	false	true	true	true	true
api.HTMLInputElement.dirName	true	true	false	true	true	true	true	true
api.HTMLSlotElement.assign	true	true	true	false	true	true	true	true
api.HTMLTextAreaElement.dirName	true	true	false	true	true	true	true	true
api.HTMLVideoElement.disablePictureInPicture	true	true	false	true	true	true	true	true
api.Headers.getSetCookie	false	false	false	false	true	true	true	true
api.InputEvent.isComposing	true	true	true	false	true	true	true	true
api.MathMLElement	false	false	true	true	true	true	true	true
api.MathMLElement.autofocus	false	false	false	true	true	true	true	true
api.MathMLElement.blur	false	false	true	true	true	true	true	true
api.MathMLElement.dataset	false	false	true	true	true	true	true	true
api.MathMLElement.focus	false	false	true	true	true	true	true	true
api.MathMLElement.style	false	false	true	true	true	true	true	true
api.MathMLElement.tabIndex	false	false	true	true	true	true	true	true
api.MediaDevices.enumerateDevices	true	true	false	true	true	true	true	true
api.MessagePort.messageerror_event	true	true	true	false	true	true	true	true
api.Navigator.pdfViewerEnabled	true	true	true	false	true	true	true	true
api.OffscreenCanvas	true	true	true	false	true	true	true	true
api.OffscreenCanvas.OffscreenCanvas	true	true	true	false	true	true	true	true
api.OffscreenCanvas.convertToBlob	true	true	true	false	true	true	true	true
api.OffscreenCanvas.getContext	true	true	true	false	true	true	true	true
api.OffscreenCanvas.getContext.2d_context	true	true	true	false	true	true	true	true
api.OffscreenCanvas.getContext.bitmaprenderer_context	true	true	true	false	true	true	true	true
api.OffscreenCanvas.height	true	true	true	false	true	true	true	true
api.OffscreenCanvas.transferToImageBitmap	true	true	true	false	true	true	true	true
api.OffscreenCanvas.width	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.arc	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.arcTo	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.beginPath	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.bezierCurveTo	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.canvas	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.clearRect	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.clip	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.closePath	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.createConicGradient	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.createImageData	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.createLinearGradient	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.createPattern	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.createRadialGradient	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.direction	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.drawImage	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.ellipse	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.fill	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.fillRect	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.fillStyle	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.fillText	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.font	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.getImageData	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.getLineDash	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.getTransform	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.globalAlpha	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.globalCompositeOperation	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.imageSmoothingEnabled	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.isPointInPath	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.isPointInStroke	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.lineCap	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.lineDashOffset	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.lineJoin	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.lineTo	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.lineWidth	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.measureText	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.miterLimit	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.moveTo	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.putImageData	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.quadraticCurveTo	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.rect	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.resetTransform	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.restore	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.rotate	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.roundRect	true	true	false	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.save	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.scale	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.setLineDash	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.setTransform	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.shadowBlur	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.shadowColor	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.shadowOffsetX	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.shadowOffsetY	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.stroke	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.strokeRect	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.strokeStyle	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.strokeText	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.textAlign	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.textBaseline	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.transform	true	true	true	false	true	true	true	true
api.OffscreenCanvasRenderingContext2D.translate	true	true	true	false	true	true	true	true
api.Path2D.roundRect	true	true	false	true	true	true	true	true
api.PerformanceResourceTiming.decodedBodySize	true	true	true	false	true	true	true	true
api.PerformanceResourceTiming.encodedBodySize	true	true	true	false	true	true	true	true
api.PerformanceResourceTiming.serverTiming	true	true	true	false	true	true	true	true
api.PerformanceResourceTiming.transferSize	true	true	true	false	true	true	true	true
api.PerformanceServerTiming	true	true	true	false	true	true	true	true
api.PerformanceServerTiming.description	true	true	true	false	true	true	true	true
api.PerformanceServerTiming.duration	true	true	true	false	true	true	true	true
api.PerformanceServerTiming.name	true	true	true	false	true	true	true	true
api.PerformanceServerTiming.toJSON	true	true	true	false	true	true	true	true
api.PermissionStatus.change_event	true	true	true	false	true	true	true	true
api.RTCEncodedAudioFrame	true	true	false	true	true	true	true	true
api.RTCEncodedAudioFrame.data	true	true	false	true	true	true	true	true
api.RTCEncodedAudioFrame.getMetadata	true	true	false	true	true	true	true	true
api.RTCEncodedAudioFrame.timestamp	true	true	false	true	true	true	true	true
api.RTCEncodedVideoFrame	true	true	false	true	true	true	true	true
api.RTCEncodedVideoFrame.data	true	true	false	true	true	true	true	true
api.RTCEncodedVideoFrame.getMetadata	true	true	false	true	true	true	true	true
api.RTCEncodedVideoFrame.timestamp	true	true	false	true	true	true	true	true
api.RTCEncodedVideoFrame.type	true	true	false	true	true	true	true	true
api.RTCPeerConnection.addTransceiver.init_sendEncodings_parameter	true	true	false	true	true	true	true	true
api.RTCPeerConnection.connectionState	true	true	false	true	true	true	true	true
api.RTCPeerConnection.connectionstatechange_event	true	true	false	true	true	true	true	true
api.RTCPeerConnection.sctp	true	true	false	true	true	true	true	true
api.RTCRtpEncodingParameters.active	true	true	false	true	true	true	true	true
api.RTCRtpReceiver.getCapabilities_static	true	true	false	true	true	true	true	true
api.RTCRtpSender.getCapabilities_static	true	true	false	true	true	true	true	true
api.RTCRtpSender.setStreams	true	true	false	true	true	true	true	true
api.RTCSctpTransport	true	true	false	true	true	true	true	true
api.RTCSctpTransport.maxChannels	true	true	false	true	true	true	true	true
api.RTCSctpTransport.maxMessageSize	true	true	false	true	true	true	true	true
api.RTCSctpTransport.state	true	true	false	true	true	true	true	true
api.RTCSctpTransport.statechange_event	true	true	false	true	true	true	true	true
api.RTCSctpTransport.transport	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_inbound-rtp.trackIdentifier	true	true	false	false	true	true	true	true
api.RTCStatsReport.type_media-source	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_media-source.id	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_media-source.kind	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_media-source.timestamp	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_media-source.trackIdentifier	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_media-source.type	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_peer-connection	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_peer-connection.dataChannelsClosed	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_peer-connection.dataChannelsOpened	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_peer-connection.id	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_peer-connection.timestamp	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_peer-connection.type	true	true	false	true	true	true	true	true
api.Response.json_static	true	true	false	false	true	true	true	true
api.SVGElement.autofocus	true	true	false	true	true	true	true	true
api.SVGStyleElement.sheet	true	true	true	false	true	true	true	true
api.Screen.orientation	true	true	true	false	true	true	true	true
api.ScreenOrientation	true	true	true	false	true	true	true	true
api.ScreenOrientation.angle	true	true	true	false	true	true	true	true
